timestamp	name	type
2019-03-12 21:46:26.70614	Mio Mio Cola	cola
2019-03-12 21:16:13.52686	JEVER	bier
2019-03-12 20:53:00.086502	Fortuna Apfelschorle	saft
2019-03-12 20:52:22.308088	JEVER	bier
2019-03-12 20:41:35.660528	MIO MIO Ginger	mate
2019-03-12 20:40:49.768759	Köstritzer	bier
2019-03-12 20:32:56.115655	MIO-MIO-MATE	mate
2019-03-12 20:22:47.589952	JEVER	bier
2019-03-12 20:00:53.709944	JEVER	bier
2019-03-12 19:49:48.072039	Waldecker Sport	saft
2019-03-12 19:44:54.075263	Jacobinus Bierspezialität	bier
2019-03-12 19:32:08.949599	Köstritzer	bier
2019-03-12 19:25:26.078678	Köstritzer	bier
2019-03-12 19:07:00.286724	Köstritzer	bier
2019-03-12 18:59:04.842863	JEVER	bier
2019-03-12 18:56:25.971596	MIO MIO Ginger	mate
2019-03-12 18:43:22.179465	Krombacher Radler	bier
2019-03-12 18:25:10.251731	Jever Fun Alkoholfrei	saft
2019-03-12 16:55:30.247433	MIO-MIO-MATE	mate
2019-03-12 16:54:00.512149	Mio Mio Cola	cola
2019-03-12 16:15:55.019586	Mio Mio Cola	cola
2019-03-12 16:13:47.128521	MIO MIO Ginger	mate
2019-03-12 15:21:35.940369	MIO-MIO-MATE	mate
2019-03-10 22:56:46.590424	JEVER	bier
2019-03-10 22:23:31.101186	JEVER	bier
2019-03-10 22:00:13.885012	Jever Fun Alkoholfrei	saft
2019-03-10 21:29:11.602149	Mio Mio Cola	cola
2019-03-10 21:25:25.154652	JEVER	bier
2019-03-10 20:31:46.144655	JEVER	bier
2019-03-10 18:39:16.384794	Krombacher Radler Naturtrüb	bier
2019-03-10 17:41:38.033187	Mio Mio Cola	cola
2019-03-10 17:21:42.911161	MIO MIO Ginger	mate
2019-03-10 16:22:02.727321	MIO MIO Ginger	mate
2019-03-10 16:17:48.086966	Waldecker Sport	saft
2019-03-10 16:06:30.391603	Waldecker Sport	saft
2019-03-09 15:47:34.829842	Esch-weger	bier
2019-03-09 15:47:26.159012	Esch-weger	bier
2019-03-09 15:47:18.431566	Krombacher Radler	bier
2019-03-09 15:47:04.554335	Krombacher Radler	bier
2019-03-09 15:46:54.94061	Jever Fun Alkoholfrei	saft
2019-03-09 10:34:30.938505	MIO MIO Ginger	mate
2019-03-09 10:34:20.772613	MIO MIO Ginger	mate
2019-03-09 01:26:42.203081	Fortuna Apfelschorle	saft
2019-03-08 23:05:10.138336	Mio Mio Cola	cola
2019-03-08 20:21:26.574554	Krombacher Radler	bier
2019-03-08 13:15:47.766763	MIO MIO Ginger	mate
2019-03-07 21:32:46.645111	MIO-MIO-MATE	mate
2019-03-07 16:48:51.132711	MIO MIO Ginger	mate
2019-03-07 16:12:01.418756	MIO MIO Ginger	mate
2019-03-07 14:14:36.663916	MIO-MIO-MATE	mate
2019-03-06 17:58:19.698832	Krombacher Radler Naturtrüb	bier
2019-03-06 15:02:54.04856	Mio Mio Cola	cola
2019-03-06 14:45:14.693222	Mio Mio Cola	cola
2019-03-06 12:53:25.997682	Mio Mio Cola	cola
2019-03-06 02:08:54.412256	Fortuna Apfelschorle	saft
2019-03-05 23:12:54.042763	Mio-Mio Banana	mate
2019-03-05 22:45:25.178243	Mio Mio Cola	cola
2019-03-05 22:41:04.007861	Krombacher Radler	bier
2019-03-05 22:37:56.982147	JEVER	bier
2019-03-05 22:01:55.824936	Krombacher Radler	bier
2019-03-05 21:48:38.835164	JEVER	bier
2019-03-05 21:48:10.371457	Krombacher Radler	bier
2019-03-05 20:59:52.787066	JEVER	bier
2019-03-05 20:59:04.663653	Mio-Mio Banana	mate
2019-03-05 20:54:21.776863	MIO-MIO-MATE	mate
2019-03-05 20:47:40.114852	Köstritzer	bier
2019-03-05 20:35:00.396419	Esch-weger	bier
2019-03-05 20:17:51.284377	Jever Fun Alkoholfrei	saft
2019-03-05 20:15:44.331545	JEVER	bier
2019-03-05 20:11:22.313362	Jacobinus Bierspezialität	bier
2019-03-05 19:56:09.671475	MIO-MIO-MATE	mate
2019-03-05 19:43:11.89577	MIO MIO Ginger	mate
2019-03-05 19:33:09.482361	MIO-MIO-MATE	mate
2019-03-05 18:56:36.585201	Krombacher Radler	bier
2019-03-05 18:27:19.227099	Köstritzer	bier
2019-03-05 18:07:09.957731	MIO MIO Ginger	mate
2019-03-05 18:06:51.729334	MIO MIO Ginger	mate
2019-03-05 17:41:26.810547	MIO-MIO-MATE	mate
2019-03-05 17:35:20.784075	MIO-MIO-MATE	mate
2019-03-05 17:17:18.771235	Mio Mio Cola	cola
2019-03-05 15:50:13.933207	MIO-MIO-MATE	mate
2019-03-05 15:47:28.069832	MIO-MIO-MATE	mate
2019-03-04 23:19:37.801636	MIO MIO Ginger	mate
2019-03-04 20:19:59.570187	Mio Mio Cola	cola
2019-03-04 16:50:10.170486	MIO-MIO-MATE	mate
2019-03-03 21:13:27.523863	Mio Mio Cola	cola
2019-03-03 20:15:26.035586	JEVER	bier
2019-03-03 19:49:59.345155	Esch-weger	bier
2019-03-03 19:35:17.384039	Esch-weger	bier
2019-03-03 19:01:54.596119	JEVER	bier
2019-03-03 18:42:36.167576	Esch-weger	bier
2019-03-03 18:38:26.882437	MIO-MIO-MATE	mate
2019-03-03 18:36:35.876615	Mio Mio Cola	cola
2019-03-03 18:35:04.495976	MIO MIO Ginger	mate
2019-03-03 18:34:54.653926	MIO-MIO-MATE	mate
2019-03-03 16:39:34.167608	MIO MIO Ginger	mate
2019-03-03 16:38:09.493307	MIO-MIO-MATE	mate
2019-03-03 16:37:27.336557	Caldener Medium	wasser
2019-03-03 16:24:16.737277	Mio Mio Cola	cola
2019-03-03 16:14:04.133968	Mio Mio Cola	cola
2019-03-03 16:13:22.409952	Fortuna Apfelschorle	saft
2019-03-03 16:12:19.913914	Edeka Mineralwasser	wasser
2019-03-03 16:03:42.939306	MIO MIO Ginger	mate
2019-03-03 16:00:55.466307	Mio Mio Cola	cola
2019-03-03 15:55:30.319081	Krombacher Radler	bier
2019-03-03 14:47:34.741887	MIO MIO Ginger	mate
2019-03-02 17:14:42.058121	Krombacher Radler	bier
2019-03-02 15:14:22.756476	MIO-MIO-MATE	mate
2019-03-02 13:17:10.854559	Fortuna Apfelschorle	saft
2019-03-02 13:15:37.856112	MIO MIO Ginger	mate
2019-03-02 12:24:11.520179	MIO-MIO-MATE	mate
2019-03-02 06:44:20.42963	Fortuna Apfelschorle	saft
2019-03-02 01:08:27.66561	Mio Mio Cola	cola
2019-03-01 21:57:33.368984	MIO MIO Ginger	mate
